Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
El Viso;100.0;9;35;50;125;95.0;El Viso;Chamartín;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;85.0;20.0;1;0;moderate;;3;1125
Sol;;9;31;61;61;96.0;Sol;Centro;House;Private room;2;1.0;1.0;1.0;Real Bed;49.0;15.0;1;0;strict;;2;1125
;;0;4;5;247;90.0;Universidad;Centro;Apartment;Private room;5;1.0;1.0;3.0;Real Bed;22.0;;1;8;moderate;;1;10
Moncloa;;5;5;8;8;90.0;Ciudad Universitaria;Moncloa - Aravaca;Other;Private room;2;1.0;1.0;1.0;Real Bed;45.0;5.0;1;15;moderate;;2;4
Malasaña;300.0;5;12;28;28;88.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;60.0;35.0;1;0;strict;484.0;2;1000
Ibiza;;0;0;0;0;;Ibiza;Retiro;Apartment;Private room;3;1.0;1.0;3.0;Real Bed;18.0;;1;0;flexible;;1;1125
;;2;8;18;79;90.0;Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;120.0;40.0;1;0;strict;;3;1125
;150.0;7;19;49;49;93.0;Quintana;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;3.0;4.0;Real Bed;60.0;30.0;1;0;flexible;;5;30
La Latina;;0;0;0;95;80.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;110.0;10.0;1;0;strict;;2;1125
Delicias;90.0;0;0;0;0;;Delicias;Arganzuela;House;Private room;2;2.0;1.0;2.0;Real Bed;20.0;5.0;2;10;flexible;;2;31
Palacio;;1;1;1;1;98.0;Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;36.0;;1;0;flexible;;2;1125
Cortes;;9;31;50;324;89.0;Cortes;Centro;Apartment;Entire home/apt;10;2.0;3.0;5.0;Real Bed;137.0;40.0;4;25;moderate;;1;1125
Embajadores;150.0;7;13;22;221;97.0;Embajadores;Centro;Other;Entire home/apt;7;1.0;3.0;5.0;Real Bed;125.0;25.0;1;0;strict;;3;60
;600.0;8;19;30;270;97.0;Embajadores;Centro;House;Entire home/apt;6;2.0;3.0;4.0;Real Bed;140.0;50.0;1;0;moderate;;2;1125
Embajadores;;8;24;33;292;92.0;Embajadores;Centro;Apartment;Private room;8;2.0;3.0;6.0;Real Bed;150.0;;4;5;strict;;1;90
La Latina;;4;8;36;36;93.0;Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;21.0;5.0;1;10;flexible;;1;20
Villaverde;;0;0;0;0;;San Andrés;Villaverde;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;15.0;;1;0;flexible;;1;3
Aluche;;0;0;0;250;90.0;Cármenes;Latina;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;16.0;;1;8;strict;97.0;2;730
Malasaña;;0;0;0;189;95.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;52.0;;2;13;flexible;;2;1125
Malasaña;150.0;2;11;20;254;96.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;80.0;;1;0;flexible;;2;30
Goya;;1;1;1;32;;Goya;Salamanca;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;28.0;;1;0;flexible;;2;1125
Malasaña;200.0;8;18;35;310;100.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;64.0;29.0;2;15;flexible;;2;1125
;;0;0;0;0;80.0;Castillejos;Tetuán;House;Shared room;2;1.0;1.0;1.0;Pull-out Sofa;15.0;15.0;1;13;moderate;;1;7
;;17;44;55;306;100.0;Sol;Centro;Bed & Breakfast;Shared room;1;1.0;1.0;1.0;Real Bed;19.0;5.0;1;0;flexible;;1;3
;300.0;27;57;87;88;;San Isidro;Carabanchel;Apartment;Entire home/apt;1;1.5;3.0;1.0;Real Bed;30.0;20.0;1;12;strict;;2;1125
;400.0;0;0;0;0;;Sol;Centro;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;35.0;;1;25;strict;;1;3
;250.0;29;59;89;90;67.0;Cortes;Centro;House;Entire home/apt;6;4.0;5.0;5.0;Real Bed;350.0;50.0;1;55;strict;;1;1125
Justicia;100.0;11;11;11;107;96.0;Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;75.0;15.0;1;0;strict;;2;1125
Malasaña;;5;11;19;19;95.0;Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;80.0;50.0;2;10;strict;;4;30
;;8;25;37;306;89.0;Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;68.0;;2;10;strict;;2;1125
;;1;15;15;15;97.0;Bellas Vistas;Tetuán;House;Private room;1;1.0;1.0;1.0;Real Bed;22.0;5.0;1;0;moderate;;2;15
Lista;;6;36;66;341;;Lista;Salamanca;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;55.0;20.0;3;5;moderate;;1;1125
Palacio;150.0;7;14;25;110;82.0;Palacio;Centro;Apartment;Entire home/apt;8;1.0;4.0;6.0;Real Bed;79.0;35.0;4;10;moderate;;3;1125
Pacifico;;1;2;3;3;100.0;Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;30.0;;1;0;moderate;;1;1125
;;29;59;89;179;;Rios Rosas;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;112.0;;1;0;flexible;;5;16
;;5;14;22;46;90.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;67.0;20.0;2;12;moderate;;2;1125
Gaztambide;;18;48;78;78;90.0;Argüelles;Moncloa - Aravaca;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;23.0;45.0;1;14;strict;;2;1125
;;14;32;53;53;100.0;Delicias;Arganzuela;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;20.0;;1;0;flexible;;2;4
Justicia;200.0;13;37;64;339;100.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;130.0;50.0;2;10;strict;;2;1125
;100.0;0;0;0;0;;Embajadores;Centro;House;Private room;2;1.5;1.0;2.0;Real Bed;18.0;20.0;1;0;flexible;;15;1125
;100.0;6;16;29;285;96.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;55.0;15.0;2;10;flexible;;3;150
;;0;18;48;139;96.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;80.0;10.0;2;10;flexible;;2;1125
Justicia;;4;29;53;328;89.0;Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;70.0;;1;0;strict;;1;1125
Cortes;200.0;10;22;40;277;90.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;68.0;40.0;2;15;strict;0.0;3;1825
;100.0;0;0;0;0;96.0;Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;28.0;10.0;1;10;moderate;;1;28
Malasaña;150.0;18;29;45;229;;Universidad;Centro;Apartment;Entire home/apt;1;1.0;1.0;2.0;Real Bed;124.0;70.0;2;15;strict;;3;1125
Malasaña;;0;0;22;96;100.0;Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;;1;0;moderate;;19;1125
Almenara;100.0;6;17;29;277;93.0;Almenara;Tetuán;Apartment;Entire home/apt;5;1.0;3.0;5.0;Real Bed;50.0;;5;20;strict;;2;1125
Embajadores;;15;45;75;75;92.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;42.0;6.0;2;10;flexible;;1;1125
La Latina;;7;37;63;338;90.0;Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;25.0;;1;10;moderate;;2;1125
