Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
Palos do Moguer;;0;0;0;0;;Palos de Moguer;Arganzuela;House;Entire home/apt;3;1.5;2.0;2.0;Real Bed;95.0;30.0;4;10;moderate;;1;1125
Justicia;;18;48;78;353;97.0;Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;44.0;10.0;1;15;moderate;;2;15
Cortes;100.0;12;39;54;319;89.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;88.0;30.0;1;0;strict;;2;365
Sol;;0;0;18;74;;Sol;Centro;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;25.0;14.0;1;5;strict;;10;1125
;;9;9;9;47;93.0;Justicia;Centro;Apartment;Private room;4;2.0;1.0;2.0;Real Bed;35.0;;2;10;strict;;1;1125
Berruguete;;9;9;9;14;;Berruguete;Tetuán;Loft;Entire home/apt;3;2.0;1.0;2.0;Real Bed;80.0;;1;0;moderate;;1;1125
Palos do Moguer;;21;47;70;340;83.0;Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;43.0;;2;11;flexible;;6;1500
Justicia;;5;5;5;43;80.0;Justicia;Centro;Apartment;Private room;4;4.5;1.0;2.0;Real Bed;30.0;10.0;2;10;flexible;;1;1125
;;15;45;71;161;81.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;62.0;30.0;2;10;moderate;;2;1125
La Latina;100.0;0;0;5;280;;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;30.0;15.0;1;15;moderate;;2;15
Recoletos;100.0;4;9;9;15;96.0;Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;58.0;;1;0;moderate;;2;1125
Guindalera;200.0;13;28;45;230;100.0;Guindalera;Salamanca;Loft;Entire home/apt;6;2.0;3.0;4.0;Real Bed;160.0;50.0;4;10;moderate;;2;1125
Acacias;;4;14;24;280;94.0;Acacias;Arganzuela;Bed & Breakfast;Shared room;2;1.0;1.0;2.0;Real Bed;34.0;;1;0;flexible;;1;1125
La Latina;;3;9;23;271;96.0;Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;2.0;Real Bed;100.0;20.0;4;10;moderate;;3;1125
Aluche;;2;10;19;201;91.0;Puerta del Angel;Latina;Bed & Breakfast;Entire home/apt;11;1.0;2.0;7.0;Real Bed;50.0;;2;5;strict;;1;65
;250.0;5;6;22;291;96.0;Palacio;Centro;Other;Entire home/apt;10;2.0;4.0;4.0;Real Bed;155.0;45.0;4;30;moderate;;2;365
;;0;0;0;0;100.0;Rios Rosas;Chamberí;Apartment;Entire home/apt;3;1.5;2.0;2.0;Real Bed;70.0;20.0;1;10;flexible;;1;1125
La Latina;200.0;8;26;54;326;100.0;Embajadores;Centro;Apartment;Entire home/apt;7;2.0;3.0;5.0;Real Bed;165.0;50.0;4;10;strict;;2;1125
;;18;42;42;42;;Palacio;Centro;House;Private room;2;1.0;1.0;1.0;Real Bed;35.0;15.0;1;15;moderate;;2;1125
Fuencarral-el Pardo;;7;37;67;67;;Pilar;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;20.0;;1;0;flexible;;4;1125
Embajadores;;8;30;52;325;92.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;40.0;30.0;2;10;flexible;;1;1125
;120.0;0;0;3;267;100.0;Palos de Moguer;Arganzuela;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;61.0;33.0;2;18;moderate;;3;1125
Recoletos;;11;14;41;41;85.0;Recoletos;Salamanca;Apartment;Entire home/apt;2;1.5;1.0;1.0;Real Bed;115.0;100.0;2;0;strict;;7;180
;;6;6;7;97;98.0;Puerta Bonita;Carabanchel;House;Private room;1;1.0;1.0;1.0;Real Bed;20.0;;1;0;moderate;;1;1125
Goya;150.0;30;60;90;365;100.0;Goya;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;40.0;25.0;1;25;strict;;7;1125
Cortes;;15;44;74;349;;Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;89.0;;1;0;flexible;;1;1125
Sol;;2;8;38;38;;Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;30.0;20.0;1;5;strict;;3;22
Acacias;200.0;7;20;41;41;91.0;Acacias;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;70.0;;4;15;moderate;0.0;3;1125
Justicia;850.0;21;51;70;345;100.0;Justicia;Centro;Apartment;Entire home/apt;7;4.5;3.0;7.0;Real Bed;595.0;120.0;7;50;strict;;7;1125
;;16;46;71;212;99.0;Embajadores;Centro;Loft;Private room;1;1.0;1.0;1.0;Real Bed;22.0;5.0;1;10;flexible;;1;7
Embajadores;;1;10;17;276;88.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;45.0;;3;7;strict;;2;1125
;;17;47;77;167;100.0;Peñagrande;Fuencarral - El Pardo;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;2;1125
;200.0;15;40;66;341;89.0;Justicia;Centro;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;24.0;8.0;1;15;strict;;1;1125
Castilla;;30;60;90;365;100.0;Castilla;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;95.0;40.0;1;0;strict;603.0;5;240
;;4;25;55;146;100.0;Hellín;San Blas - Canillejas;Apartment;Entire home/apt;4;1.5;3.0;3.0;Real Bed;42.0;;1;5;flexible;;2;1125
;;27;57;87;362;97.0;Opañel;Carabanchel;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;14.0;;1;0;moderate;;1;1125
Hortaleza;250.0;6;35;61;336;93.0;Valdefuentes;Hortaleza;Apartment;Entire home/apt;4;1.5;1.0;1.0;Real Bed;60.0;15.0;2;25;strict;;1;1125
;;18;48;78;168;;Argüelles;Moncloa - Aravaca;House;Entire home/apt;3;1.0;1.0;2.0;Real Bed;105.0;;1;0;flexible;;4;1125
San Blas;;28;58;88;88;100.0;Arcos;San Blas - Canillejas;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;33.0;5.0;1;0;flexible;;2;15
;;6;11;21;140;96.0;Palacio;Centro;Apartment;Entire home/apt;7;2.0;3.0;5.0;Real Bed;180.0;77.0;1;0;strict;;3;1125
La Latina;200.0;0;0;22;83;;Embajadores;Centro;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;30.0;30.0;1;0;strict;;7;1125
Cortes;;0;0;0;0;100.0;Cortes;Centro;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;30.0;5.0;1;0;flexible;;1;1125
Trafalgar;150.0;16;30;60;297;;Trafalgar;Chamberí;Apartment;Entire home/apt;5;2.0;3.0;3.0;Real Bed;106.0;30.0;3;15;strict;;2;1125
Trafalgar;;0;0;0;0;;Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;3.0;3.0;Real Bed;78.0;;1;0;flexible;;1;1125
;;0;0;5;168;100.0;San Diego;Puente de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;40.0;15.0;1;0;moderate;;30;1125
Atocha;150.0;11;35;56;329;;Atocha;Arganzuela;Other;Entire home/apt;7;1.0;3.0;5.0;Real Bed;84.0;25.0;3;10;strict;;2;1125
Palacio;200.0;13;35;65;340;60.0;Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;65.0;33.0;1;0;flexible;;4;365
;90.0;0;0;6;281;85.0;Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;49.0;15.0;1;0;strict;;2;1000
Malasaña;300.0;6;19;30;281;97.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;105.0;;1;0;strict;753.0;3;180
Castellana;;0;10;27;222;85.0;Castellana;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;57.0;15.0;2;10;flexible;;4;363
Trafalgar;200.0;9;29;38;122;;Trafalgar;Chamberí;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;195.0;30.0;6;35;moderate;;1;20
Retiro;250.0;7;35;48;300;80.0;Jerónimos;Retiro;Apartment;Entire home/apt;3;1.5;2.0;2.0;Real Bed;150.0;70.0;1;0;strict;;5;1125
;100.0;3;19;33;70;;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;98.0;25.0;1;0;strict;;2;7
Aluche;;21;51;81;81;;Puerta del Angel;Latina;House;Private room;2;1.0;1.0;1.0;Real Bed;20.0;15.0;1;10;moderate;;1;10
Ciudad Lineal;150.0;3;3;16;177;;Ventas;Ciudad Lineal;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;63.0;;1;0;flexible;;4;180
Embajadores;;2;2;10;75;96.0;Embajadores;Centro;Bed & Breakfast;Private room;2;1.5;1.0;1.0;Real Bed;34.0;;1;0;strict;;2;15
Malasaña;150.0;5;23;41;313;94.0;Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;68.0;20.0;4;15;strict;646.0;2;1125
Fuencarral-el Pardo;;25;55;85;85;96.0;Mirasierra;Fuencarral - El Pardo;Condominium;Private room;2;2.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;1;7
Malasaña;;0;0;0;0;85.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;60.0;;2;0;moderate;;2;1125
Carabanchel;;6;25;55;146;91.0;Comillas;Carabanchel;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;27.0;15.0;2;6;strict;;2;1125
Cuatro Caminos;100.0;24;34;64;65;100.0;Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;30.0;8.0;1;0;moderate;;1;4
Cortes;250.0;12;22;34;273;71.0;Cortes;Centro;Apartment;Entire home/apt;16;3.0;8.0;8.0;Real Bed;475.0;60.0;7;0;strict;;3;1125
Cortes;100.0;15;37;67;342;90.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;50.0;40.0;1;10;strict;0.0;2;360
Malasaña;500.0;18;19;49;324;100.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;90.0;70.0;2;10;strict;;3;1125
Carabanchel;;0;0;0;0;;Vista Alegre;Carabanchel;House;Private room;2;2.0;1.0;1.0;Real Bed;15.0;;1;0;moderate;;1;1125
El Viso;;0;6;36;311;96.0;El Viso;Chamartín;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;30.0;;1;0;flexible;;1;1125
Ciudad Lineal;;0;0;0;0;96.0;Concepción;Ciudad Lineal;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;25.0;10.0;1;0;strict;;2;1125
Gaztambide;;3;22;44;50;84.0;Gaztambide;Chamberí;Apartment;Entire home/apt;12;6.0;6.0;2.0;Real Bed;300.0;;1;0;moderate;;2;365
Goya;;0;0;0;0;;Goya;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;120.0;;1;0;flexible;;3;1125
;800.0;7;37;59;327;;Numancia;Puente de Vallecas;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;60.0;;1;0;strict;;90;1125
Nueva España;;0;5;35;310;;Nueva España;Chamartín;Apartment;Entire home/apt;7;3.5;4.0;5.0;Real Bed;455.0;350.0;1;0;strict;;30;1125
Sol;100.0;8;30;56;325;95.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;70.0;50.0;1;0;moderate;;3;1125
Trafalgar;;0;25;55;330;;Trafalgar;Chamberí;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;50.0;;1;0;flexible;1722.0;1;1125
Palacio;200.0;6;12;18;80;99.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;85.0;32.0;2;20;moderate;;3;1125
;;1;4;30;30;92.0;Trafalgar;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;16.0;8.0;1;0;strict;;3;1125
Cortes;;6;23;42;314;71.0;Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;20.0;;1;0;moderate;100.0;2;1125
La Latina;90.0;0;0;0;0;;Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;30.0;;1;8;moderate;0.0;3;15
;100.0;0;0;6;281;94.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;60.0;10.0;2;10;moderate;;1;1125
Embajadores;;3;5;15;167;95.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;57.0;20.0;2;12;flexible;;2;1125
;;19;49;79;154;83.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;75.0;;1;0;moderate;;3;10
;;0;0;0;0;;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;90.0;;1;0;moderate;;2;1125
;100.0;0;0;0;0;;Ventas;Ciudad Lineal;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;24.0;15.0;1;0;flexible;;14;21
Justicia;150.0;7;7;20;284;97.0;Justicia;Centro;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;85.0;20.0;1;0;flexible;;2;1125
Malasaña;100.0;0;6;36;311;;Universidad;Centro;Other;Entire home/apt;2;1.0;0.0;1.0;Real Bed;38.0;20.0;1;10;strict;;7;26
Malasaña;;2;8;38;38;;Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;29.0;5.0;1;0;moderate;;1;1125
;;0;0;6;96;;Almenara;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;22.0;;1;0;flexible;;1;1125
Trafalgar;90.0;7;15;27;113;86.0;Trafalgar;Chamberí;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;52.0;15.0;2;12;strict;;1;1125
Puente de Vallecas;;26;56;86;180;92.0;Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;17.0;;1;8;moderate;;2;7
Aluche;;0;0;1;220;80.0;Campamento;Latina;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;30.0;15.0;4;5;strict;;1;1125
Rios Rosas;;4;13;29;304;;Rios Rosas;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;40.0;20.0;1;0;flexible;;2;6
Cortes;150.0;7;26;46;316;95.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;53.0;20.0;2;15;moderate;;2;1125
Embajadores;;0;30;60;60;100.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.5;2.0;2.0;Real Bed;55.0;15.0;2;10;flexible;;2;30
;90.0;0;0;0;0;88.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;73.0;26.0;1;0;moderate;;1;1125
Delicias;500.0;9;17;36;287;94.0;Delicias;Arganzuela;Apartment;Entire home/apt;12;2.0;5.0;7.0;Real Bed;210.0;90.0;1;0;strict;;3;365
Embajadores;150.0;15;32;53;328;99.0;Embajadores;Centro;Loft;Entire home/apt;2;1.0;0.0;1.0;Real Bed;55.0;20.0;2;15;strict;;3;1125
;;9;21;37;312;88.0;Bellas Vistas;Tetuán;Apartment;Entire home/apt;5;1.5;1.0;2.0;Real Bed;80.0;20.0;2;20;moderate;;1;1125
;;7;10;16;258;95.0;Simancas;San Blas - Canillejas;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;45.0;30.0;1;10;moderate;;4;31
;;29;59;89;89;;Gaztambide;Chamberí;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;23.0;;1;0;flexible;;3;16
Malasaña;300.0;14;41;67;315;100.0;Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;49.0;50.0;1;0;strict;;3;30
;;19;49;78;353;;Palacio;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;80.0;35.0;4;15;strict;;1;1125
Lista;200.0;20;50;80;170;;Lista;Salamanca;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;150.0;42.0;4;15;flexible;;2;1125
Argüelles;100.0;2;31;61;336;100.0;Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;180.0;;1;0;strict;;4;1125
Palacio;;25;55;85;175;67.0;Argüelles;Moncloa - Aravaca;Apartment;Shared room;10;1.0;1.0;10.0;Real Bed;11.0;;1;15;strict;;1;1125
;;30;60;90;365;;Abrantes;Carabanchel;Bed & Breakfast;Private room;1;1.0;;;Real Bed;20.0;;1;0;flexible;;1;1125
Sol;90.0;9;29;46;321;76.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;35.0;25.0;3;10;strict;;2;1125
Moratalaz;;30;60;90;365;;Fontarrón;Moratalaz;Bed & Breakfast;Private room;1;2.0;1.0;1.0;Real Bed;45.0;;1;45;flexible;;2;7
Acacias;100.0;0;0;0;43;;Acacias;Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;45.0;15.0;1;0;strict;;1;1125
Vicálvaro;100.0;0;0;8;283;;Casco Histórico de Vicálvaro;Vicálvaro;Apartment;Entire home/apt;5;1.0;2.0;4.0;Real Bed;45.0;40.0;4;15;flexible;;3;1125
Castellana;250.0;16;38;65;141;93.0;Castellana;Salamanca;Condominium;Entire home/apt;8;2.0;3.0;4.0;Real Bed;161.0;60.0;1;20;strict;;1;30
Ciudad Lineal;;0;0;21;293;91.0;Costillares;Ciudad Lineal;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;90.0;;1;0;moderate;;3;1125
Cortes;;14;44;74;349;89.0;Cortes;Centro;Apartment;Private room;4;1.0;1.0;3.0;Real Bed;36.0;12.0;2;28;strict;0.0;1;1125
Estrella;;0;0;0;0;;Estrella;Retiro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;20.0;;1;15;flexible;;7;300
;96.0;6;36;66;157;100.0;Lista;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;20.0;20.0;1;10;moderate;;4;1125
;;0;10;32;120;100.0;Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;38.0;10.0;1;0;moderate;;4;1125
Justicia;120.0;4;5;12;98;98.0;Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;72.0;30.0;1;0;moderate;;4;60
Sol;;5;18;41;41;80.0;Sol;Centro;Apartment;Private room;3;3.0;1.0;1.0;Real Bed;20.0;10.0;2;10;strict;;2;1125
;;30;60;90;365;;Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;330.0;;1;0;flexible;;1;1125
;;0;14;42;132;100.0;Puerta del Angel;Latina;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;2;1125
Puente de Vallecas;100.0;0;0;0;0;;Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;Pull-out Sofa;25.0;;2;6;moderate;;2;1125
;100.0;29;59;89;364;;Palomeras Sureste;Puente de Vallecas;House;Private room;2;1.5;1.0;1.0;Real Bed;40.0;10.0;1;5;flexible;;3;1125
Malasaña;250.0;0;0;0;62;93.0;Universidad;Centro;Apartment;Entire home/apt;4;1.5;2.0;2.0;Real Bed;75.0;25.0;3;15;strict;;2;1125
La Latina;200.0;8;16;28;268;98.0;Palacio;Centro;Apartment;Entire home/apt;9;3.5;3.0;5.0;Real Bed;240.0;;6;40;strict;;2;365
Cortes;200.0;8;28;49;196;100.0;Cortes;Centro;Apartment;Entire home/apt;8;2.0;3.0;6.0;Real Bed;179.0;35.0;4;12;strict;;2;1125
;250.0;6;36;66;341;100.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;80.0;50.0;2;10;strict;;2;1125
;;0;7;37;312;97.0;Universidad;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;43.0;;1;0;moderate;;2;1125
Palos do Moguer;150.0;0;2;17;150;93.0;Palos de Moguer;Arganzuela;House;Entire home/apt;11;2.0;4.0;4.0;Real Bed;95.0;50.0;5;15;moderate;;3;1125
;;18;37;62;304;100.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;49.0;;2;0;flexible;;2;1125
La Latina;94.0;9;33;63;338;91.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;38.0;12.0;1;10;moderate;;2;1125
La Latina;100.0;4;14;40;308;97.0;Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;59.0;45.0;2;10;strict;;2;1125
Hortaleza;;30;60;90;365;80.0;Pinar del Rey;Hortaleza;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;52.0;;1;0;flexible;;1;1125
Embajadores;100.0;8;33;50;50;90.0;Embajadores;Centro;Apartment;Entire home/apt;3;1.0;0.0;1.0;Futon;60.0;40.0;2;5;strict;;4;1125
La Latina;;2;6;12;265;97.0;Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;65.0;25.0;1;0;moderate;;4;1125
Jerónimos;90.0;0;10;23;298;96.0;Jerónimos;Retiro;Other;Entire home/apt;4;2.5;2.0;2.0;Real Bed;150.0;40.0;1;0;strict;;3;1125
;94.0;10;13;13;13;100.0;Justicia;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;5.0;1;0;strict;;2;1125
Sol;200.0;15;22;39;291;93.0;Sol;Centro;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;190.0;60.0;3;20;strict;;2;1125
Embajadores;;0;0;6;281;;Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;20.0;15.0;1;0;strict;;10;1125
Prosperidad;;0;6;15;267;;El Viso;Chamartín;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;70.0;;1;0;flexible;;10;75
Almagro;150.0;0;0;0;0;91.0;Almagro;Chamberí;Apartment;Entire home/apt;6;2.0;4.0;4.0;Real Bed;185.0;50.0;2;20;strict;0.0;2;1125
Embajadores;100.0;14;40;70;160;95.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;45.0;20.0;1;0;flexible;;2;1125
Usera;;19;35;60;148;60.0;Almendrales;Usera;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;20.0;;1;0;strict;;2;1125
Estrella;;2;10;29;114;80.0;Estrella;Retiro;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;31.0;;1;0;moderate;;2;29
Embajadores;;0;0;0;0;;Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;20.0;80.0;1;0;flexible;;1;1125
Palacio;;13;34;46;224;;Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;149.0;77.0;2;0;strict;;3;1125
Embajadores;150.0;0;0;0;66;;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;40.0;30.0;1;0;flexible;;2;1125
La Latina;150.0;5;11;21;112;94.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;55.0;30.0;2;10;strict;;5;1125
Cortes;;0;8;20;271;94.0;Cortes;Centro;House;Entire home/apt;2;1.0;0.0;1.0;Real Bed;58.0;;1;0;strict;;1;1125
Recoletos;;14;31;47;208;80.0;Recoletos;Salamanca;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;247.0;77.0;4;17;strict;;3;1125
Justicia;200.0;7;26;29;119;86.0;Justicia;Centro;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;80.0;20.0;2;20;moderate;;2;31
Embajadores;;24;54;84;359;70.0;Embajadores;Centro;Bed & Breakfast;Private room;2;2.0;1.0;1.0;Real Bed;42.0;;2;0;strict;;1;1125
Cuatro Caminos;;7;37;67;342;;Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;70.0;30.0;1;15;moderate;;2;7
Malasaña;100.0;4;4;4;101;85.0;Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;22.0;10.0;1;10;strict;;3;60
Sol;;1;2;11;56;100.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;53.0;;1;0;moderate;;2;365
Embajadores;;0;0;6;281;;Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;23.0;15.0;1;5;strict;;10;1125
;;27;57;87;362;98.0;Palacio;Centro;Apartment;Private room;5;1.0;1.0;4.0;Real Bed;45.0;19.0;1;19;strict;;1;1125
La Latina;200.0;5;23;40;40;90.0;Embajadores;Centro;Apartment;Entire home/apt;7;2.0;2.0;5.0;Real Bed;119.0;65.0;2;10;strict;;2;1125
Embajadores;;10;28;58;333;100.0;Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;45.0;20.0;2;10;strict;;3;1125
;200.0;6;14;32;307;94.0;Cortes;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;90.0;50.0;1;0;strict;;3;1125
Villa de Vallecas;;28;58;88;363;;Santa Eugenia;Villa de Vallecas;Guesthouse;Private room;2;1.0;1.0;2.0;Real Bed;30.0;;1;0;flexible;;1;3
;150.0;14;44;74;164;95.0;Embajadores;Centro;Other;Entire home/apt;4;1.0;2.0;3.0;Real Bed;60.0;45.0;1;0;flexible;;4;1125
;;0;21;51;326;;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;45.0;25.0;1;0;strict;;3;1125
Justicia;200.0;13;22;38;301;;Justicia;Centro;Apartment;Entire home/apt;10;2.0;4.0;7.0;Real Bed;180.0;70.0;2;20;strict;;2;1125
;;30;60;90;365;;Apostol Santiago;Hortaleza;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;60.0;;1;0;flexible;;1;1125
Bellas Vistas;;9;33;44;262;100.0;Bellas Vistas;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;20.0;10.0;1;8;strict;;3;30
Barajas;;0;0;6;281;94.0;Casco Histórico de Barajas;Barajas;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;;1;7;flexible;;1;1125
Malasaña;;0;0;4;66;99.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;65.0;25.0;1;0;moderate;;2;1125
Justicia;;10;30;49;225;93.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;120.0;;3;30;moderate;;1;90
Guindalera;;12;42;72;347;80.0;Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;21.0;;1;19;strict;;1;365
;100.0;0;0;0;8;95.0;Justicia;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;5.0;1;0;strict;;3;180
;;0;0;0;0;90.0;Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;2;5
